time,latitude,longitude,depth,temperature,salinity,oxy_conc,oxy_temperature,oxy_percentsat,oxy_conc_umkg
2022-04-29 00:00:00,56.866,-164.04983333333334,6.0,5.3903,0.0033,,5.1539635,,
2022-04-29 01:00:00,56.866,-164.04983333333334,6.0,4.856,0.003,,4.8200961,,
2022-04-29 02:00:00,56.866,-164.04983333333334,6.0,4.5371,0.0027,,4.6491951,,
2022-04-29 03:00:00,56.866,-164.04983333333334,6.0,3.9169,0.0024,,4.0315099,,
2022-04-29 04:00:00,56.866,-164.04983333333334,6.0,3.2156,0.002,,3.3418021,,
2022-04-29 05:00:00,56.866,-164.04983333333334,6.0,2.7667,0.0016,,2.9530022,,
2022-04-29 06:00:00,56.866,-164.04983333333334,6.0,2.5461,0.0015,,2.7619593,,
2022-04-29 07:00:00,56.866,-164.04983333333334,6.0,2.5943,0.0015,,2.8394751,,
2022-04-29 08:00:00,56.866,-164.04983333333334,6.0,2.5885,0.0015,,2.8803693,,
2022-04-29 09:00:00,56.866,-164.04983333333334,6.0,2.65,0.0016,,3.0347906,,
2022-04-29 10:00:00,56.866,-164.04983333333334,6.0,2.2608,0.0013,,2.4378576,,
2022-04-29 11:00:00,56.866,-164.04983333333334,6.0,2.2384,0.0013,,2.5312428,,
2022-04-29 12:00:00,56.866,-164.04983333333334,6.0,2.1809,0.0013,,2.3579004,,
2022-04-29 13:00:00,56.866,-164.04983333333334,6.0,1.9451,0.0011,,2.0771344,,
2022-04-29 14:00:00,56.866,-164.04983333333334,6.0,2.1455,0.0013,,2.3774319,,
2022-04-29 15:00:00,56.866,-164.04983333333334,6.0,2.051,0.0012,,2.2132448,,
2022-04-29 16:00:00,56.866,-164.04983333333334,6.0,2.4327,0.0015,,2.6197452,,
2022-04-29 17:00:00,56.866,-164.04983333333334,6.0,3.0188,0.0019,,3.1159686,,
2022-04-29 18:00:00,56.866,-164.04983333333334,6.0,3.8671,0.0025,,3.723888,,
2022-04-29 19:00:00,56.866,-164.04983333333334,6.0,4.9522,0.0032,,4.535668,,
2022-04-29 20:00:00,56.866,-164.04983333333334,6.0,5.0844,0.0033,,5.031281,,
2022-04-29 21:00:00,56.866,-164.04983333333334,6.0,5.2111,0.0033,,4.8286412,,
2022-04-29 22:00:00,56.866,-164.04983333333334,6.0,6.6423,0.0034,,6.9325551,,
2022-04-29 23:00:00,56.866,-164.04983333333334,6.0,4.266,0.0028,,4.4184787,,
2022-04-30 00:00:00,56.866,-164.04983333333334,6.0,4.4116,0.0029,,4.544213,,
2022-04-30 01:00:00,56.866,-164.04983333333334,6.0,5.7644,0.0037,,5.8833448,,
2022-04-30 02:00:00,56.866,-164.04983333333334,6.0,4.8311,0.0032,,4.6711681,,
2022-04-30 03:00:00,56.866,-164.04983333333334,6.0,5.2694,0.0035,,4.9378958,,
2022-04-30 04:00:00,56.866,-164.04983333333334,6.0,4.3479,0.0029,,4.2457465,,
2022-04-30 05:00:00,56.866,-164.04983333333334,6.0,5.031,0.0033,,4.9470512,,
2022-04-30 06:00:00,56.866,-164.04983333333334,6.0,4.5546,0.003,,4.5564202,,
2022-04-30 07:00:00,56.866,-164.04983333333334,6.0,3.781,0.0025,,3.7483024,,
2022-04-30 08:00:00,56.866,-164.04983333333334,6.0,3.448,0.0023,,3.4229801,,
2022-04-30 09:00:00,56.866,-164.04983333333334,6.0,3.2477,0.0022,,3.2325475,,
2022-04-30 10:00:00,56.866,-164.04983333333334,6.0,3.0155,0.002,,2.9926757,,
2022-04-30 11:00:00,56.866,-164.04983333333334,6.0,2.7336,0.0018,,2.719234,,
2022-04-30 12:00:00,56.866,-164.04983333333334,6.0,2.772,0.0018,,2.7442588,,
2022-04-30 13:00:00,56.866,-164.04983333333334,6.0,2.3661,0.0015,,2.3487449,,
2022-04-30 14:00:00,56.866,-164.04983333333334,6.0,2.5042,0.0016,,2.4995041,,
2022-04-30 15:00:00,56.866,-164.04983333333334,6.0,2.3782,0.0016,,2.3542382,,
2022-04-30 16:00:00,56.866,-164.04983333333334,6.0,2.4248,0.0016,,2.4464027,,
2022-04-30 17:00:00,56.866,-164.04983333333334,6.0,2.573,0.0017,,2.4647135,,
2022-04-30 18:00:00,56.866,-164.04983333333334,6.0,3.399,0.0022,,3.2569619,,
2022-04-30 19:00:00,56.866,-164.04983333333334,6.0,4.7433,0.0031,,4.1871519,,
2022-04-30 20:00:00,56.866,-164.04983333333334,6.0,4.9757,0.0032,,4.8817426,,
2022-04-30 21:00:00,56.866,-164.04983333333334,6.0,7.1479,0.0034,,6.2544442,,
2022-04-30 22:00:00,56.866,-164.04983333333334,6.0,8.458,0.0042,,8.1758602,,
2022-04-30 23:00:00,56.866,-164.04983333333334,6.0,7.5926,0.0038,,7.5471885,,
2022-05-01 00:00:00,56.866,-164.04983333333334,6.0,7.1136,0.0035,,6.7592126,,
2022-05-01 01:00:00,56.866,-164.04983333333334,6.0,9.0633,0.0046,,8.1270314,,
2022-05-01 02:00:00,56.866,-164.04983333333334,6.0,7.0837,0.0034,,6.5730526,,
2022-05-01 03:00:00,56.866,-164.04983333333334,6.0,7.1386,0.0034,,6.7866789,,
2022-05-01 04:00:00,56.866,-164.04983333333334,6.0,7.0617,0.0034,,6.5321584,,
2022-05-01 05:00:00,56.866,-164.04983333333334,6.0,5.8963,0.0027,,5.6965743,,
2022-05-01 06:00:00,56.866,-164.04983333333334,6.0,5.3955,0.0024,,5.3150988,,
2022-05-01 07:00:00,56.866,-164.04983333333334,6.0,4.5934,0.0019,,4.5564202,,
2022-05-01 08:00:00,56.866,-164.04983333333334,6.0,3.6391,0.0012,,3.686656,,
2022-05-01 09:00:00,56.866,-164.04983333333334,6.0,2.634,0.0005,,2.6466011,,
2022-05-01 10:00:00,56.866,-164.04983333333334,6.0,1.9724,0.0,,2.0753033,,
2022-05-01 11:00:00,56.866,-164.04983333333334,6.0,1.497,-0.0003,,1.6541543,,
2022-05-01 12:00:00,56.866,-164.04983333333334,6.0,1.1002,-0.0006,,1.2201877,,
2022-05-01 13:00:00,56.866,-164.04983333333334,6.0,0.8102,-0.0009,,1.0047303,,
